date,event,figure_cited,source
Mar 2025,"GoldBod Act 1140 passed by Parliament, signed by President Mahama",-,Wikipedia / Parliament
Apr 2025,"GoldBod formally established, absorbing PMMC's functions",-,goldbod.gov.gh
Nov 2025,GoldBod rejects Asaase News report alleging GH₵3bn in first-year losses,GH₵3bn claim (disputed),goldbod.gov.gh
Dec 2025,IMF Fifth Review (ECF programme) reports G4R programme losses,$214m (through Q3 2025),IMF / MyJoyOnline
Dec 2025,"GoldBod publicly rejects the IMF figure as a Bank of Ghana matter, not its own",-,GhanaWeb
Jan 2026,IMF Communications Director Julie Kozack reaffirms the $214m quasi-fiscal loss figure,$214m (unchanged),Citinewsroom / GBC
Jan 2026,GoldBod CEO states GoldBod itself has recorded no losses; cites unaudited surplus estimate,GH₵700-800m surplus est.,goldbod.gov.gh
Apr 2026,GoldBod publishes FY2025 audited financial statements,GH₵5.44bn overall surplus,goldbod.gov.gh / Ghanaian Times
Jul 2026,"Government, Bank of Ghana and GoldBod sign agreement transferring DGPP fully to GoldBod",-,Modern Ghana / Ghanaweb
Jul 2026,GoldBod dismisses Minority Caucus claims of losses amid gold price decline,23%+ gold price slump cited,Graphic Online
Aug 2026,IMF 2026 Article IV Consultation & Sixth Review published; DGPP losses re-quantified,GH₵22bn (2025) / 1.5% of GDP,Modern Ghana / Ghanaweb
Aug 2026,Minority Leader Afenyo-Markin cites IMF Country Report No. 26/213 losses,$1.7bn+ / GH₵1.7bn+ cited,Adomonline
