metric,fy2025,fy2024,yoy_change_or_reading,note
Total revenue,5554000000,308140000,17.024274680340106,
Total non-tax revenue,983962564,307786982,2.1968946756818974,
Total expenditure,109590000,129660000,-0.15478944932901434,
Operational (non-tax) surplus,909713825,,n/a,
Overall surplus,5457413825,185342031,28.44509561892089,
Total assets,9468221622,1642607532,4.764141121690656,
Total liabilities,3948612922,1518822464,1.5997856995088533,
Cash and cash equivalents,8770555176,738175990,10.881387764996258,
Finance costs,0,46038551,-1,
Long-term borrowings,17000000,30000000,-0.43333333333333335,
